"id","question_id","category_id","created_at","updated_at"
4724,279,15,"2014-07-02 12:05:43.409032","2014-07-02 12:05:43.409032"
10285,727,13,"2015-03-15 01:25:21.28038","2015-03-15 01:25:21.28038"
4973,493,7,"2014-07-02 12:07:22.51685","2014-07-02 12:07:22.51685"
10286,727,8,"2015-03-15 01:25:21.28038","2015-03-15 01:25:21.28038"
4978,498,7,"2014-07-02 12:07:27.726749","2014-07-02 12:07:27.726749"
4735,289,15,"2014-07-02 12:05:47.781154","2014-07-02 12:05:47.781154"
4980,500,7,"2014-07-02 12:07:30.212279","2014-07-02 12:07:30.212279"
10287,727,11,"2015-03-15 01:25:21.28038","2015-03-15 01:25:21.28038"
4984,504,7,"2014-07-02 12:07:35.590757","2014-07-02 12:07:35.590757"
10288,727,14,"2015-03-15 01:25:21.28038","2015-03-15 01:25:21.28038"
10289,727,20,"2015-03-15 01:25:21.28038","2015-03-15 01:25:21.28038"
10290,827,2,"2015-03-15 01:29:19.537333","2015-03-15 01:29:19.537333"
5251,707,7,"2014-07-02 12:09:26.001575","2014-07-02 12:09:26.001575"
4750,303,1,"2014-07-02 12:05:53.116825","2014-07-02 12:05:53.116825"
9797,778,13,"2015-02-09 19:14:26.874741","2015-02-09 19:14:26.874741"
10292,755,8,"2015-03-15 01:49:37.708913","2015-03-15 01:49:37.708913"
10293,721,8,"2015-03-15 01:51:55.763776","2015-03-15 01:51:55.763776"
9224,793,7,"2015-02-06 16:12:03.986006","2015-02-06 16:12:03.986006"
9225,793,8,"2015-02-06 16:12:03.986006","2015-02-06 16:12:03.986006"
4996,514,7,"2014-07-02 12:07:44.862308","2014-07-02 12:07:44.862308"
4780,323,6,"2014-07-02 12:06:03.098481","2014-07-02 12:06:03.098481"
9226,793,19,"2015-02-06 16:12:03.986006","2015-02-06 16:12:03.986006"
9798,778,14,"2015-02-09 19:14:26.874741","2015-02-09 19:14:26.874741"
7916,44,5,"2014-11-20 13:42:57.834443","2014-11-20 13:42:57.834443"
4790,340,13,"2014-07-02 12:06:06.18285","2014-07-02 12:06:06.18285"
4997,515,7,"2014-07-02 12:07:46.275774","2014-07-02 12:07:46.275774"
5973,736,7,"2014-08-21 16:09:41.733161","2014-08-21 16:09:41.733161"
7917,44,8,"2014-11-20 13:42:57.834443","2014-11-20 13:42:57.834443"
5002,520,7,"2014-07-02 12:07:54.080318","2014-07-02 12:07:54.080318"
5003,521,7,"2014-07-02 12:07:55.775921","2014-07-02 12:07:55.775921"
10294,133,12,"2015-03-15 02:03:38.453759","2015-03-15 02:03:38.453759"
10295,709,7,"2015-03-15 02:17:14.347402","2015-03-15 02:17:14.347402"
10296,556,7,"2015-03-15 02:19:50.378168","2015-03-15 02:19:50.378168"
10297,749,13,"2015-03-15 02:30:43.47346","2015-03-15 02:30:43.47346"
10298,749,8,"2015-03-15 02:30:43.47346","2015-03-15 02:30:43.47346"
10299,629,10,"2015-03-15 02:33:14.777175","2015-03-15 02:33:14.777175"
5974,736,8,"2014-08-21 16:09:41.733161","2014-08-21 16:09:41.733161"
5004,522,7,"2014-07-02 12:07:57.446207","2014-07-02 12:07:57.446207"
6452,60,5,"2014-10-03 21:33:55.291772","2014-10-03 21:33:55.291772"
5005,523,7,"2014-07-02 12:07:59.210205","2014-07-02 12:07:59.210205"
6453,60,8,"2014-10-03 21:33:55.291772","2014-10-03 21:33:55.291772"
6454,60,13,"2014-10-03 21:33:55.291772","2014-10-03 21:33:55.291772"
