"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
1,8593,"recurring","100",NULL,NULL,False,True,"2014-07-08 22:57:10.751226","2014-07-15 22:57:10.751226","2014-07-08 22:57:10.724257","2014-07-08 22:57:10.724257"
3,7,"recurring","100",NULL,NULL,False,True,"2014-07-08 23:51:28.902275","2014-07-15 23:51:28.902275","2014-07-08 23:51:28.885385","2014-07-08 23:51:28.885385"
61,8707,"recurring","100",NULL,NULL,False,True,"2014-07-09 18:54:10.879416","2014-07-16 18:54:10.879416","2014-07-09 18:54:10.866983","2014-07-09 18:54:10.866983"
53,85,"recurring",NULL,"300",NULL,True,False,"2014-07-09 17:35:00.694561",NULL,"2014-07-09 17:35:00.680984","2014-07-09 17:35:00.680984"
6,2075,"recurring",NULL,"300",NULL,True,False,"2014-07-09 01:03:18.119266",NULL,"2014-07-09 01:03:18.106121","2014-07-09 01:03:18.106121"
4,2315,"recurring",NULL,"206.7612124329",NULL,True,False,"2014-07-09 00:56:03.745106",NULL,"2014-07-09 00:56:03.732714","2014-07-09 00:56:03.732714"
62,8708,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:06:51.33928","2014-07-16 19:06:51.33928","2014-07-09 19:06:51.327309","2014-07-09 19:06:51.327309"
7,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 01:20:17.320737","2014-07-16 01:20:17.320737","2014-07-09 01:20:17.308101","2014-07-09 01:20:17.308101"
8,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 01:22:22.149334","2014-07-16 01:22:22.149334","2014-07-09 01:22:22.135915","2014-07-09 01:22:22.135915"
9,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 01:24:57.394425","2014-07-16 01:24:57.394425","2014-07-09 01:24:57.379716","2014-07-09 01:24:57.379716"
10,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 01:26:05.228562","2014-07-16 01:26:05.228562","2014-07-09 01:26:05.213259","2014-07-09 01:26:05.213259"
5,2075,"recurring",NULL,"300",NULL,True,False,"2014-07-09 01:02:27.713463",NULL,"2014-07-09 01:02:27.700286","2014-07-09 01:02:27.700286"
12,8600,"recurring","100",NULL,NULL,False,True,"2014-07-09 02:42:57.810372","2014-07-16 02:42:57.810372","2014-07-09 02:42:57.798107","2014-07-09 02:42:57.798107"
13,8599,"recurring","100",NULL,NULL,False,True,"2014-07-09 02:45:43.257879","2014-07-16 02:45:43.257879","2014-07-09 02:45:43.245197","2014-07-09 02:45:43.245197"
14,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 08:15:27.703447","2014-07-16 08:15:27.703447","2014-07-09 08:15:27.686732","2014-07-09 08:15:27.686732"
2,7,"recurring",NULL,"278.065417297",NULL,True,False,"2014-07-08 23:33:19.759338",NULL,"2014-07-08 23:33:19.746453","2014-07-08 23:33:19.746453"
15,8602,"recurring","100",NULL,NULL,False,True,"2014-07-09 12:41:29.822729","2014-07-16 12:41:29.822729","2014-07-09 12:41:29.809876","2014-07-09 12:41:29.809876"
