"id","user_id","question_id","trade_id","created_at","updated_at","old_marginal","new_marginal"
1,6,78,357,"2013-12-12 15:44:30.610915","2014-10-21 18:31:29.4454","[0.08001755, 0.91998243]","[0.102213904, 0.89778614]"
2,6,78,361,"2013-12-13 07:34:55.584741","2014-10-21 18:31:36.80466","[0.0931952, 0.90680486]","[0.12381058, 0.8761895]"
3,145,78,363,"2013-12-13 12:20:59.000179","2014-10-21 18:31:39.384616","[0.12381058, 0.8761895]","[0.19065097, 0.809349]"
4,148,77,369,"2013-12-13 13:28:34.244685","2014-10-21 18:31:47.164613","[0.20499998, 0.79499996]","[0.25318652, 0.7468135]"
5,122,104,379,"2013-12-14 13:31:57.214023","2014-10-21 18:31:55.804726","[0.016884387, 0.116455555, 0.30195647, 0.3263299, 0.22284144, 0.01553216]","[0.01615736, 0.11144108, 0.28895453, 0.31227842, 0.25630513, 0.01486336]"
6,122,77,380,"2013-12-14 13:39:19.74586","2014-10-21 18:31:58.168611","[0.20323771, 0.7967622]","[0.16847834, 0.83152163]"
7,4,77,385,"2013-12-14 14:17:17.476766","2014-10-21 18:32:01.468707","[0.16847834, 0.83152163]","[0.14322302, 0.85677695]"
8,85,19,442,"2013-12-17 10:49:47.763437","2014-10-21 18:32:23.221527","[0.75500005, 0.24500002]","[0.737, 0.263]"
9,108,19,451,"2013-12-17 16:16:40.822993","2014-10-21 18:32:27.464784","[0.70000005, 0.3]","[0.7109374, 0.28906262]"
10,176,19,518,"2013-12-18 18:06:51.586046","2014-10-21 18:32:47.101025","[0.7378664, 0.2621337]","[0.72497785, 0.27502215]"
11,176,52,575,"2013-12-20 17:44:53.852924","2014-10-21 18:33:02.296757","[0.84866476, 0.1513354]","[0.7756523, 0.22434767]"
12,176,19,618,"2013-12-23 12:03:43.975394","2014-10-21 18:33:14.49699","[0.28653306, 0.713467]","[0.25621033, 0.74378955]"
13,85,54,623,"2013-12-23 17:03:04.809989","2014-10-21 18:33:17.772823","[0.6948439, 0.17605853, 0.07629193, 0.029343074, 0.0234745]","[0.6847235, 0.18189017, 0.07881903, 0.030315049, 0.024252098]"
14,36,19,624,"2013-12-23 21:39:20.000574","2014-10-21 18:33:20.130429","[0.25621033, 0.74378955]","[0.19735429, 0.8026458]"
15,45,51,636,"2013-12-25 00:26:39.820497","2014-10-21 18:33:27.249089","[0.7170371, 0.28296292]","[0.6935043, 0.30649567]"
16,45,19,636,"2013-12-25 00:26:39.820497","2014-10-21 18:33:29.422144","[0.19735429, 0.8026457]","[0.17595205, 0.8240478]"
17,96,109,656,"2013-12-26 16:51:15.730045","2014-10-21 18:33:36.446332","[0.113618374, 0.113618374, 0.3758363, 0.1696901, 0.113618374, 0.113618374]","[0.11796285, 0.11796285, 0.35196984, 0.17617878, 0.11796285, 0.11796285]"
18,191,109,672,"2013-12-27 20:37:26.861099","2014-10-21 18:33:45.159731","[0.11817223, 0.11817223, 0.3508196, 0.17649162, 0.11817223, 0.11817223]","[0.10625155, 0.10625155, 0.4163059, 0.15868793, 0.10625155, 0.10625155]"
19,294,71,760,"2014-01-04 00:43:16.860329","2014-10-21 18:34:29.328795","[0.13602592, 0.1805481, 0.206293, 0.26713297, 0.21]","[0.12999946, 0.17254914, 0.19715345, 0.25529796, 0.24499996]"
20,308,71,763,"2014-01-04 11:05:12.773861","2014-10-21 18:34:32.140772","[0.12999946, 0.17254914, 0.19715345, 0.25529796, 0.24499996]","[0.122703165, 0.16286474, 0.18608811, 0.24096924, 0.2873748]"
21,342,28,801,"2014-01-05 23:00:44.917478","2014-10-21 18:34:43.068932","[0.5344478, 0.4655522]","[0.521264, 0.47873592]"
22,342,28,802,"2014-01-05 23:01:16.348217","2014-10-21 18:34:45.420799","[0.521264, 0.47873592]","[0.5109399, 0.48906007]"
23,342,28,803,"2014-01-05 23:01:27.92953","2014-10-21 18:34:47.772766","[0.5109399, 0.48906007]","[0.5548773, 0.4451227]"
24,352,71,819,"2014-01-06 09:55:08.599785","2014-10-21 18:34:53.592918","[0.06291163, 0.08335002, 0.22184741, 0.26079112, 0.37109983]","[0.067017704, 0.08879006, 0.23632684, 0.2778123, 0.3300531]"
25,39,109,879,"2014-01-08 09:59:35.664602","2014-10-21 18:35:11.701102","[0.10615361, 0.10615361, 0.41684425, 0.15854177, 0.10615361, 0.10615361]","[0.09894259, 0.09894259, 0.45645744, 0.14777201, 0.09894259, 0.09894259]"
26,406,109,928,"2014-01-10 09:50:02.3198","2014-10-21 18:35:27.408818","[0.09939857, 0.09939857, 0.4539525, 0.14845313, 0.09939857, 0.09939857]","[0.106796876, 0.106796876, 0.41330916, 0.15950328, 0.106796876, 0.106796876]"
27,424,128,935,"2014-01-10 10:12:14.096881","2014-10-21 18:35:31.196895","[0.84143716, 0.15856281]","[0.8199774, 0.18002264]"
28,438,109,946,"2014-01-10 10:37:26.259305","2014-10-21 18:35:35.841079","[0.10679686, 0.10679686, 0.41330904, 0.15950334, 0.10679686, 0.10679686]","[0.11289391, 0.11289391, 0.3798142, 0.16860962, 0.11289391, 0.11289391]"
29,427,128,949,"2014-01-10 10:43:44.408092","2014-10-21 18:35:38.673053","[0.8244133, 0.1755867]","[0.8358709, 0.16412899]"
