"user_id","user_role_id","created_at","updated_at"
1858,131,"2014-06-05 10:12:17.092601","2014-06-05 10:12:17.092601"
1893,131,"2014-06-05 10:23:46.212845","2014-06-05 10:23:46.212845"
1894,131,"2014-06-05 10:24:20.708577","2014-06-05 10:24:20.708577"
1905,131,"2014-06-05 10:24:45.756674","2014-06-05 10:24:45.756674"
1906,131,"2014-06-05 10:26:13.837088","2014-06-05 10:26:13.837088"
1914,131,"2014-06-05 10:28:42.871162","2014-06-05 10:28:42.871162"
1915,131,"2014-06-05 10:29:08.656621","2014-06-05 10:29:08.656621"
1921,131,"2014-06-05 10:29:29.565121","2014-06-05 10:29:29.565121"
1961,131,"2014-06-05 10:32:22.075041","2014-06-05 10:32:22.075041"
1983,131,"2014-06-05 10:33:14.379718","2014-06-05 10:33:14.379718"
1991,131,"2014-06-05 10:34:53.750179","2014-06-05 10:34:53.750179"
2022,131,"2014-06-05 10:36:39.159781","2014-06-05 10:36:39.159781"
2029,131,"2014-06-05 10:37:56.005378","2014-06-05 10:37:56.005378"
2106,131,"2014-06-05 10:57:04.3416","2014-06-05 10:57:04.3416"
2110,131,"2014-06-05 10:58:55.971473","2014-06-05 10:58:55.971473"
2115,131,"2014-06-05 11:00:10.175017","2014-06-05 11:00:10.175017"
3924,131,"2014-06-21 22:14:21.317165","2014-06-21 22:14:21.317165"
3041,131,"2014-06-21 22:15:07.537253","2014-06-21 22:15:07.537253"
8942,131,"2014-07-22 17:18:16.994125","2014-07-22 17:18:16.994125"
9143,131,"2014-08-01 12:35:13.103478","2014-08-01 12:35:13.103478"
9354,131,"2014-08-01 12:40:59.991454","2014-08-01 12:40:59.991454"
9328,131,"2014-08-01 13:01:19.779782","2014-08-01 13:01:19.779782"
9557,131,"2014-08-08 15:07:59.867978","2014-08-08 15:07:59.867978"
172,13,"2014-02-21 08:56:16.108535","2014-02-21 08:56:16.108535"
500,13,"2014-02-21 08:59:27.325161","2014-02-21 08:59:27.325161"
1070,13,"2014-02-21 08:59:35.031994","2014-02-21 08:59:35.031994"
37,13,"2014-02-21 09:00:03.201603","2014-02-21 09:00:03.201603"
342,13,"2014-02-21 09:00:33.601259","2014-02-21 09:00:33.601259"
482,13,"2014-02-21 09:01:28.966949","2014-02-21 09:01:28.966949"
809,13,"2014-02-21 09:02:29.200191","2014-02-21 09:02:29.200191"
505,13,"2014-02-21 09:02:46.492107","2014-02-21 09:02:46.492107"
785,13,"2014-02-21 09:04:00.743585","2014-02-21 09:04:00.743585"
966,13,"2014-02-21 09:04:12.535326","2014-02-21 09:04:12.535326"
689,13,"2014-02-21 09:04:44.567477","2014-02-21 09:04:44.567477"
427,14,"2014-02-21 09:04:59.037813","2014-02-21 09:04:59.037813"
62,14,"2014-02-21 09:05:18.312358","2014-02-21 09:05:18.312358"
115,13,"2014-02-21 09:05:26.713322","2014-02-21 09:05:26.713322"
79,14,"2014-02-21 09:05:35.260739","2014-02-21 09:05:35.260739"
583,13,"2014-02-21 09:05:49.977678","2014-02-21 09:05:49.977678"
199,13,"2014-02-21 09:07:34.833033","2014-02-21 09:07:34.833033"
312,13,"2014-02-21 09:07:46.510706","2014-02-21 09:07:46.510706"
503,13,"2014-02-21 09:07:56.849756","2014-02-21 09:07:56.849756"
749,13,"2014-02-21 09:08:22.121345","2014-02-21 09:08:22.121345"
161,14,"2014-02-21 09:08:30.096984","2014-02-21 09:08:30.096984"
861,13,"2014-02-21 09:08:41.850216","2014-02-21 09:08:41.850216"
537,14,"2014-02-21 09:09:09.564411","2014-02-21 09:09:09.564411"
265,14,"2014-02-21 09:09:34.351536","2014-02-21 09:09:34.351536"
592,14,"2014-02-21 09:10:37.338953","2014-02-21 09:10:37.338953"
847,14,"2014-02-21 09:10:52.758773","2014-02-21 09:10:52.758773"
550,14,"2014-02-21 09:11:30.688347","2014-02-21 09:11:30.688347"
864,14,"2014-02-21 09:11:45.15007","2014-02-21 09:11:45.15007"
420,13,"2014-02-21 09:12:11.513467","2014-02-21 09:12:11.513467"
48,14,"2014-02-21 09:12:19.476507","2014-02-21 09:12:19.476507"
484,13,"2014-02-21 09:12:21.989813","2014-02-21 09:12:21.989813"
589,13,"2014-02-21 09:12:33.157566","2014-02-21 09:12:33.157566"
188,14,"2014-02-21 09:12:33.778122","2014-02-21 09:12:33.778122"
704,13,"2014-02-21 09:12:42.852777","2014-02-21 09:12:42.852777"
292,14,"2014-02-21 09:12:47.555483","2014-02-21 09:12:47.555483"
841,13,"2014-02-21 09:12:55.710838","2014-02-21 09:12:55.710838"
768,14,"2014-02-21 09:12:59.321542","2014-02-21 09:12:59.321542"
928,13,"2014-02-21 09:13:09.008603","2014-02-21 09:13:09.008603"
1135,13,"2014-02-21 09:13:33.04535","2014-02-21 09:13:33.04535"
1003,14,"2014-02-21 09:13:41.547088","2014-02-21 09:13:41.547088"
91,14,"2014-02-21 09:13:55.113089","2014-02-21 09:13:55.113089"
148,14,"2014-02-21 09:14:06.970541","2014-02-21 09:14:06.970541"
431,14,"2014-02-21 09:14:46.913648","2014-02-21 09:14:46.913648"
619,14,"2014-02-21 09:15:07.64208","2014-02-21 09:15:07.64208"
727,14,"2014-02-21 09:15:21.447862","2014-02-21 09:15:21.447862"
752,14,"2014-02-21 09:15:40.604225","2014-02-21 09:15:40.604225"
937,14,"2014-02-21 09:15:51.849531","2014-02-21 09:15:51.849531"
213,14,"2014-02-21 09:16:26.750341","2014-02-21 09:16:26.750341"
457,14,"2014-02-21 09:16:39.639868","2014-02-21 09:16:39.639868"
516,14,"2014-02-21 09:16:52.861517","2014-02-21 09:16:52.861517"
635,14,"2014-02-21 09:17:09.823926","2014-02-21 09:17:09.823926"
818,14,"2014-02-21 09:17:21.581581","2014-02-21 09:17:21.581581"
915,14,"2014-02-21 09:17:32.193004","2014-02-21 09:17:32.193004"
1005,14,"2014-02-21 09:17:41.945119","2014-02-21 09:17:41.945119"
1027,14,"2014-02-21 09:17:53.891546","2014-02-21 09:17:53.891546"
1046,13,"2014-02-21 09:28:41.415762","2014-02-21 09:28:41.415762"
64,13,"2014-02-24 13:38:24.867055","2014-02-24 13:38:24.867055"
399,13,"2014-02-24 13:39:14.972715","2014-02-24 13:39:14.972715"
620,13,"2014-02-24 13:39:23.668854","2014-02-24 13:39:23.668854"
795,13,"2014-02-24 13:39:48.636014","2014-02-24 13:39:48.636014"
887,13,"2014-02-24 13:39:57.458715","2014-02-24 13:39:57.458715"
993,13,"2014-02-24 13:40:06.506832","2014-02-24 13:40:06.506832"
1015,13,"2014-02-24 13:40:15.866058","2014-02-24 13:40:15.866058"
1050,13,"2014-02-24 13:40:23.697077","2014-02-24 13:40:23.697077"
1097,13,"2014-02-24 13:40:41.157049","2014-02-24 13:40:41.157049"
1153,13,"2014-02-24 13:40:50.748042","2014-02-24 13:40:50.748042"
130,13,"2014-02-24 13:41:31.435648","2014-02-24 13:41:31.435648"
308,13,"2014-02-24 13:42:00.444446","2014-02-24 13:42:00.444446"
384,13,"2014-02-24 13:43:17.57616","2014-02-24 13:43:17.57616"
408,13,"2014-02-24 13:43:24.526065","2014-02-24 13:43:24.526065"
453,13,"2014-02-24 13:43:35.170373","2014-02-24 13:43:35.170373"
469,13,"2014-02-24 13:43:44.127404","2014-02-24 13:43:44.127404"
476,13,"2014-02-24 13:44:01.84648","2014-02-24 13:44:01.84648"
495,13,"2014-02-24 13:44:09.98148","2014-02-24 13:44:09.98148"
531,13,"2014-02-24 13:44:20.375904","2014-02-24 13:44:20.375904"
641,13,"2014-02-24 13:44:29.715217","2014-02-24 13:44:29.715217"
743,13,"2014-02-24 13:44:39.20357","2014-02-24 13:44:39.20357"
