question_id,trade_id,SerSettledVal,NVL
1,532,[0.0,0.01
1,532, 1.0],0.99
1,533,[0.0,0.009906758
1,533, 1.0],0.9900933
1,914,[0.0,0.007507876
1,914, 1.0],0.9924922
1,915,[0.0,0.07875463
1,915, 1.0],0.92124534
5,119,[0.5,0.5
5,119, 0.5],0.5
5,428,[0.5,0.5
5,428, 0.5],0.5
5,612,[0.5,0.4
5,612, 0.5],0.6
5,1353,[0.5,0.45
5,1353, 0.5],0.54999995
5,1675,[0.5,0.375
5,1675, 0.5],0.625
5,3670,[0.5,0.37499997
5,3670, 0.5],0.625
5,4845,[0.5,0.375
5,4845, 0.5],0.625
5,4853,[0.5,0.375
5,4853, 0.5],0.625
5,4854,[0.5,0.375
5,4854, 0.5],0.625
5,6409,[0.5,0.33610559
5,6409, 0.5],0.6638944
5,10135,[0.5,0.3680528
5,10135, 0.5],0.6319472
5,10241,[0.5,0.43402645
5,10241, 0.5],0.5659736
5,10637,[0.5,0.51701325
5,10637, 0.5],0.48298678
5,11575,[0.5,0.50000006
5,11575, 0.5],0.5
5,11576,[0.5,0.47000006
5,11576, 0.5],0.53
5,11577,[0.5,0.45000005
5,11577, 0.5],0.55
5,12096,[0.5,0.45000005
5,12096, 0.5],0.55
5,12200,[0.5,0.48426777
5,12200, 0.5],0.5157322
5,15949,[0.5,0.4862052
5,15949, 0.5],0.5137948
5,16197,[0.5,0.4862052
5,16197, 0.5],0.5137948
5,18768,[0.5,0.4862052
5,18768, 0.5],0.5137948
5,20493,[0.5,0.45000002
5,20493, 0.5],0.5500001
5,21332,[0.5,0.45244408
5,21332, 0.5],0.547556
5,24601,[0.5,0.45244408
5,24601, 0.5],0.547556
5,25214,[0.5,0.47965267
5,25214, 0.5],0.52034736
5,25405,[0.5,0.48373085
5,25405, 0.5],0.5162692
5,25884,[0.5,0.48373085
5,25884, 0.5],0.5162692
5,26107,[0.5,0.46345195
5,26107, 0.5],0.5365481
5,28853,[0.5,0.47000006
5,28853, 0.5],0.5299999
5,29262,[0.5,0.5274452
5,29262, 0.5],0.4725548
5,29349,[0.5,0.4975555
5,29349, 0.5],0.50244457
5,30478,[0.5,0.55
5,30478, 0.5],0.45000002
5,30793,[0.5,0.5457461
5,30793, 0.5],0.45425388
5,31193,[0.5,0.54
5,31193, 0.5],0.45999998
5,32802,[0.5,0.53
5,32802, 0.5],0.47000006
5,36016,[0.5,0.5300001
5,36016, 0.5],0.46999994
5,36580,[0.5,0.51603496
5,36580, 0.5],0.4839651
5,37135,[0.5,0.47531566
5,37135, 0.5],0.52468437
5,37141,[0.5,0.44330066
5,37141, 0.5],0.5566994
5,41859,[0.5,0.44068182
5,41859, 0.5],0.55931824
5,42174,[0.5,0.43891254
5,42174, 0.5],0.56108737
5,45086,[0.5,0.5194563
5,45086, 0.5],0.4805437
5,47819,[0.5,0.5194563
5,47819, 0.5],0.4805437
5,48973,[0.5,0.37052804
5,48973, 0.5],0.62947196
5,49830,[0.5,0.2650982
5,49830, 0.5],0.7349017
5,49837,[0.5,0.34999996
5,49837, 0.5],0.65000004
5,52858,[0.5,0.37
5,52858, 0.5],0.63
5,52867,[0.5,0.37
5,52867, 0.5],0.63
5,53787,[0.5,0.46213257
5,53787, 0.5],0.53786737
5,54298,[0.5,0.47368187
5,54298, 0.5],0.5263181
5,54954,[0.5,0.44999996
5,54954, 0.5],0.5500001
5,55122,[0.5,0.44000003
5,55122, 0.5],0.55999994
5,55342,[0.5,0.4169527
5,55342, 0.5],0.5830472
5,55364,[0.5,0.40999997
5,55364, 0.5],0.59000003
5,55684,[0.5,0.41014746
5,55684, 0.5],0.5898526
5,55706,[0.5,0.4000001
