NVL,ForPlot,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound,Trend
0,0.033169948,,,,,,,0
0.01,0.049092028,0.19441521,79.68061245,0.002439931,0.004782265,0.053874293,0.044309763,0.01
0.02,0.02422657,0.19441521,79.68061245,0.002439931,0.004782265,0.029008836,0.019444305,0.02
0.03,0.041739793,0.195322869,83.4445924,0.002340749,0.004587869,0.046327662,0.037151925,0.03
0.04,0.041007461,0.198449543,87.45856162,0.002269069,0.004447376,0.045454837,0.036560085,0.04
0.05,0.049254526,0.201486374,88.44772467,0.002278028,0.004464934,0.053719461,0.044789592,0.05
0.06,0.036812849,0.2166292,90.48756821,0.002394022,0.004692282,0.041505131,0.032120566,0.06
0.07,0.042325983,0.231977737,86.76404785,0.002673662,0.005240378,0.047566361,0.037085606,0.07
0.08,0.054161686,0.235822549,81.45550933,0.002895109,0.005674413,0.059836099,0.048487273,0.08
0.09,0.050758401,0.23736012,83.8987485,0.002829126,0.005545087,0.056303488,0.045213315,0.09
0.1,0.09424042,0.24851483,81.67006796,0.003042912,0.005964108,0.100204528,0.088276313,0.1
0.11,0.085254388,0.257430835,81.60882305,0.003154449,0.006182719,0.091437107,0.079071669,0.11
0.12,0.085328757,0.269725725,79.5298686,0.003391502,0.006647344,0.091976102,0.078681413,0.12
0.13,0.071750176,0.278771565,78.76547467,0.003539261,0.006936951,0.078687127,0.064813225,0.13
0.14,0.122012604,0.291812364,77.69813383,0.003755719,0.007361209,0.129373813,0.114651394,0.14
0.15,0.083182317,0.303320496,76.59634456,0.003959987,0.007761574,0.090943891,0.075420744,0.15
0.16,0.11915725,0.329251836,77.84600182,0.004229528,0.008289875,0.127447124,0.110867375,0.15
0.17,0.105264296,0.335185718,77.65951326,0.004316093,0.008459543,0.113723839,0.096804753,0.17
0.18,0.152419828,0.341326963,78.68926229,0.004337656,0.008501806,0.160921634,0.143918022,0.18
0.19,0.137330006,0.347031672,79.67433715,0.004355627,0.008537028,0.145867035,0.128792978,0.19
0.2,0.175565313,0.36315107,80.39900497,0.00451686,0.008853046,0.184418359,0.166712267,0.2
0.21,0.178877423,0.365576554,80.9135341,0.004518114,0.008855503,0.187732926,0.17002192,0.21
0.22,0.12843292,0.370775305,81.26499862,0.004562546,0.00894259,0.137375511,0.11949033,0.22
0.23,0.145321892,0.372211751,81.60882305,0.004560925,0.008939414,0.154261306,0.136382478,0.23
0.24,0.187300185,0.376855576,81.51073549,0.004623386,0.009061836,0.196362021,0.178238349,0.24
0.25,0.18070206,0.378316872,81.2034482,0.004658877,0.009131399,0.189833458,0.171570661,0.25
0.26,0.151924356,0.377945297,80.87644898,0.004673119,0.009159314,0.16108367,0.142765042,0.26
0.27,0.172786555,0.383718254,79.33473388,0.004836699,0.009479931,0.182266486,0.163306624,0.27
0.28,0.170346245,0.39003756,80.39900497,0.004851273,0.009508496,0.179854741,0.160837749,0.28
0.29,0.213100323,0.390267918,79.51729372,0.004907963,0.009619607,0.22271993,0.203480716,0.29
0.3,0.189380362,0.400121586,77.9166221,0.005135253,0.010065096,0.199445458,0.179315266,0.3
0.31,0.175618309,0.407198,77.83957862,0.005231246,0.010253243,0.185871551,0.165365066,0.3
0.32,0.204584162,0.412726174,78.08328887,0.005285717,0.010360005,0.214944167,0.194224156,0.32
0.33,0.22203293,0.419161397,78.37729263,0.005347995,0.010482071,0.232515001,0.211550859,0.33
0.34,0.192703959,0.420849913,79.19595949,0.005314033,0.010415504,0.203119463,0.182288455,0.34
0.35,0.282239161,0.435390596,80.34923771,0.005418727,0.010620705,0.292859867,0.271618456,0.35
0.36,0.267690595,0.440288534,80.98765338,0.00543649,0.01065552,0.278346114,0.257035075,0.35
0.37,0.258277497,0.445844395,82.75868534,0.005387282,0.010559073,0.26883657,0.247718424,0.37
0.38,0.269040682,0.451833538,81.85963596,0.005519613,0.010818442,0.279859124,0.25822224,0.38
0.39,0.242485538,0.45709766,82.03657721,0.005571876,0.010920878,0.253406416,0.231564661,0.39
0.4,0.326417019,0.463574362,82.80700453,0.005598251,0.010972571,0.33738959,0.315444448,0.4
0.41,0.284496616,0.468265843,82.7163829,0.005661102,0.011095759,0.295592375,0.273400857,0.41
0.42,0.341939628,0.473945581,82.37111144,0.005753784,0.011277417,0.353217044,0.330662211,0.42
0.43,0.347684289,0.479231207,82.10968274,0.005836476,0.011439493,0.359123782,0.336244795,0.43
0.44,0.347733564,0.484750474,81.92679659,0.005916873,0.011597072,0.359330636,0.336136493,0.44
0.45,0.414542259,0.491144454,83.73171442,0.005865692,0.011496756,0.426039016,0.403045503,0.45
0.46,0.462615205,0.494200959,83.73768566,0.005901775,0.011567479,0.474182683,0.451047726,0.46
0.47,0.4856515,0.496253677,83.13843876,0.005969004,0.011699248,0.497350748,0.473952252,0.47
0.48,0.487748656,0.497780051,82.78284847,0.006013082,0.011785641,0.499534296,0.475963015,0.48
0.49,0.49295337,0.498837849,82.81907993,0.006023224,0.011805519,0.504758889,0.481147852,0.49
0.5,0.500318324,0.498829538,82.80700453,0.006024002,0.011807043,0.512125368,0.488511281,0.5
0.51,0.508900529,0.497791797,82.83718972,0.006009279,0.011778187,0.520678717,0.497122342,0.51
0.52,0.509632136,0.496344831,83.3126641,0.005957616,0.011676927,0.521309063,0.49795521,0.52
0.53,0.515405395,0.494237136,83.69587803,0.005905155,0.011574104,0.526979498,0.503831291,0.53
0.54,0.532450623,0.491079152,83.71977066,0.005865749,0.011496868,0.543947491,0.520953755,0.54
0.55,0.58670997,0.484821082,81.96340647,0.005915092,0.01159358,0.59830355,0.57511639,0.55
0.56,0.650605397,0.479433809,82.07923002,0.00584111,0.011448576,0.662053973,0.639156821,0.56
0.57,0.643826754,0.473937396,82.58934556,0.005738481,0.011247423,0.655074177,0.632579331,0.57
0.58,0.666735365,0.468278083,82.70429251,0.005662077,0.011097671,0.677833036,0.655637694,0.58
0.59,0.718347513,0.463506269,82.77680835,0.00559947,0.010974962,0.729322474,0.707372551,0.59
0.6,0.670878347,0.457205863,82.04876599,0.005572367,0.01092184,0.681800187,0.659956507,0.6
