trade_id,NONZERO,question_id,difftime_tradedays,TBS
119,0,5,11.70083,0
428,0,5,7.16253,0
612,0,5,20.20239,0.02
1353,0,5,5.06506,0.004999995
1675,0,5,40.26863,0.03125
3670,0,5,21.15449,0.031250008
4845,0,5,0.00064,0.03125
4853,0,5,0.00009,0.03125
4854,0,5,21.68476,0.03125
6409,0,5,46.84704,0.053722752
10135,0,5,0.04327,0.034820127
10241,0,5,0.24965,0.008705025
10637,0,5,2.22586,0.0005789
11575,0,5,0.0003,3.60E-15
11576,0,5,0.00018,0.001799996
11577,0,5,0.20058,0.004999995
12096,0,5,0.05587,0.004999995
12200,0,5,4.39752,0.000495005
15949,0,5,0.18235,0.000380593
16197,0,5,2.989,0.000380593
18768,0,5,3.57038,0.000380593
20493,0,5,0.15948,0.005000008
21332,0,5,2.83243,0.004523139
24601,0,5,0.14087,0.004523139
25214,0,5,0.05537,0.000828029
25405,0,5,0.04425,0.000529372
25884,0,5,0.01971,0.000529372
26107,0,5,3.86015,0.002671524
28853,0,5,0.0697,0.00179999
29262,0,5,0.00615,0.001506478
29349,0,5,0.20383,1.20E-05
30478,0,5,0.03274,0.004999998
30793,0,5,0.03751,0.004185413
31193,0,5,2.36423,0.003200002
32802,0,5,0.56913,0.001799996
36016,0,5,0.02775,0.00180001
36580,0,5,0.03125,0.000514238
37135,0,5,0.00042,0.001218635
37141,0,5,3.98226,0.006429637
41859,0,5,0.01519,0.0070373
42174,0,5,9.08583,0.007463345
45086,0,5,4.6611,0.000757095
47819,0,5,2.37815,0.000757095
48973,0,5,4.5572,0.033525977
49830,0,5,0.00388,0.110357664
49837,0,5,6.82381,0.045000024
52858,0,5,0.00068,0.0338
52867,0,5,0.09351,0.0338
53787,0,5,0.05432,0.00286788
54298,0,5,0.06224,0.001385286
54954,0,5,0.02842,0.005000014
55122,0,5,0.01658,0.007199989
55342,0,5,0.00167,0.013793691
55364,0,5,0.02094,0.016200011
55684,0,5,0.00127,0.016146969
55706,0,5,0.0943,0.019999972
56247,0,5,0.00269,1.36E-14
56273,0,5,0.00408,0.000200001
56304,0,5,0.02784,0.004999995
56550,0,5,0.5589,0.007199989
57381,0,5,0.3423,0.003200004
57933,0,5,0.98069,0.001799998
58599,0,5,0.08952,0.004999998
58702,0,5,0.15616,0.006058177
59014,0,5,0.24915,0.006058177
59257,0,5,4.12577,0.00500001
61459,0,5,0.49522,0.003199991
64017,0,5,0.03383,0.001799998
64041,0,5,0.01318,0.000799999
64174,0,5,0.08212,0.001434504
64938,0,5,6.14245,2.00E-04
67642,0,5,0.27631,2.00E-04
68111,0,5,0.12944,2.00E-04
68737,0,5,0.06367,2.00E-04
69085,0,5,0.26607,0.000248459
70833,0,5,0.05689,0.000248459
71126,0,5,6.14914,0.005995107
74349,0,5,0.28933,0.005995107
74943,0,5,0.06438,0.005995107
75393,0,5,0.009,0.005995107
75454,0,5,0.15361,0.005995107
75835,0,5,0.19039,0.005995107
76554,0,5,0.12065,0.005945555
76993,0,5,0.01899,0.005866351
77206,0,5,0.0331,0.00093947
77378,0,5,22.48118,0.001071427
82777,0,5,11.13877,0.005000004
85053,0,5,0.00219,0.001250002
85054,0,5,10.82867,0.005000004
86545,0,5,3.17695,0.024682536
87092,0,5,0.00191,0.003952379
87094,0,5,9.37164,2.00E-04
88418,0,5,15.75311,0.49999805
90535,-4,5,2.41925,3.60E-15
39,0,9,3.10465,0.32
264,0,9,2.81681,0.185151965
299,0,9,6.00967,0.425305991
396,0,9,1.29467,0.72
426,0,9,1.46857,0.845000026
462,0,9,0.00382,0.661250023
467,0,9,0.33261,0.812812526
493,0,9,1.92829,0.604999923
567,0,9,17.69002,0.788601752
840,0,9,0.00254,0.6728
841,0,9,0.07937,0.7938
847,0,9,3.74198,1.035626516
971,0,9,0.18752,1.193537653
1105,0,9,1.03034,0.768300138
1242,0,9,0.05724,0.000200001
1245,0,9,0.6505,0.000114869
