DaysTilClose,AverageQBS,StDev,SqrtNumRows,SDoverSqrtNum,TimesZ,UpperBound,LowerBound,Double Avg,Double UB,Double LB
5,0.22153441,0.263381528,22.49444376,0.011708737,0.022949125,0.244483535,0.198585285,0.44306882,0.48896707,0.397170571
10,0.217619331,0.263348857,22.29349681,0.011812811,0.023153109,0.24077244,0.194466222,0.435238661,0.481544879,0.388932444
15,0.217230096,0.267102903,22.06807649,0.012103588,0.023723032,0.240953128,0.193507063,0.434460191,0.481906256,0.387014127
20,0.224510247,0.272653687,21.16601049,0.012881676,0.025248085,0.249758331,0.199262162,0.449020493,0.499516662,0.398524324
25,0.22546616,0.272627229,20.68816087,0.013177935,0.025828752,0.251294911,0.199637408,0.450932319,0.502589822,0.399274816
30,0.224281724,0.271328451,20.19900988,0.01343276,0.02632821,0.250609933,0.197953514,0.448563448,0.501219867,0.395907029
35,0.223898741,0.272074629,19.92485885,0.013655034,0.026763867,0.250662608,0.197134874,0.447797483,0.501325217,0.394269749
40,0.217972871,0.256265097,19.26136028,0.013304621,0.026077057,0.244049928,0.191895814,0.435945741,0.488099855,0.383791627
45,0.218864657,0.256875065,19.20937271,0.013372382,0.026209868,0.245074525,0.192654789,0.437729314,0.49014905,0.385309578
50,0.220078826,0.25425663,19.07878403,0.013326669,0.02612027,0.246199096,0.193958556,0.440157652,0.492398192,0.387917111
55,0.219013455,0.25311727,18.94729532,0.013359019,0.026183676,0.245197132,0.192829779,0.438026911,0.490394264,0.385659558
60,0.218709185,0.252899307,18.89444363,0.013384851,0.026234307,0.244943492,0.192474877,0.437418369,0.489886984,0.384949755
65,0.217901149,0.252943897,18.54723699,0.013637821,0.026730129,0.244631278,0.19117102,0.435802297,0.489262555,0.382342039
70,0.234594119,0.254746618,16.82260384,0.015143115,0.029680505,0.264274623,0.204913614,0.469188237,0.528549246,0.409827228
75,0.230465033,0.249928422,16.58312395,0.015071251,0.029539652,0.260004685,0.200925382,0.460930067,0.52000937,0.401850763
80,0.229892407,0.248825927,16.43167673,0.015143064,0.029680405,0.259572812,0.200212002,0.459784814,0.519145624,0.400424005
85,0.233857139,0.250485916,16.24807681,0.015416342,0.030216031,0.26407317,0.203641107,0.467714277,0.528146339,0.407282215
90,0.234245903,0.255010576,15.93737745,0.016000787,0.031361542,0.265607445,0.202884361,0.468491806,0.531214889,0.405768722
95,0.241069369,0.25834995,15.68438714,0.016471791,0.032284711,0.27335408,0.208784658,0.482138738,0.546708159,0.417569316
100,0.244035895,0.262596242,15.49193338,0.016950515,0.033223008,0.277258904,0.210812887,0.48807179,0.554517807,0.421625773
105,0.242528499,0.268288226,15.16575089,0.017690402,0.034673187,0.277201687,0.207855312,0.485056999,0.554403373,0.415710624
110,0.240384154,0.26824836,15.13274595,0.017726351,0.034743647,0.275127801,0.205640507,0.480768309,0.550255603,0.411281014
115,0.237071472,0.267662957,15.06651917,0.017765414,0.034820212,0.271891684,0.20225126,0.474142944,0.543783369,0.40450252
120,0.241669257,0.272000692,14.76482306,0.018422211,0.036107534,0.277776792,0.205561723,0.483338515,0.555553583,0.411123446
125,0.238078249,0.266160663,14.56021978,0.018279989,0.035828779,0.273907028,0.20224947,0.476156498,0.547814056,0.404498939
130,0.243998112,0.269939384,14.31782106,0.018853384,0.036952633,0.280950746,0.207045479,0.487996225,0.561901492,0.414090958
135,0.24172498,0.27244749,14,0.019460535,0.038142649,0.279867629,0.203582332,0.483449961,0.559735258,0.407164664
140,0.23947371,0.272249347,13.96424004,0.019496181,0.038212514,0.277686224,0.201261196,0.47894742,0.555372448,0.402522392
145,0.239279833,0.276765742,13.89244399,0.019922034,0.039047187,0.27832702,0.200232646,0.478559666,0.556654039,0.400465292
