Days,AverageQBS,Category,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound
5,0.283581286,1,0.271081903,9.539392014,0.028417105,0.055697526,0.339278811,0.22788376
10,0.281960843,1,0.277408571,9.486832981,0.029241431,0.057313205,0.339274048,0.224647638
15,0.287715402,1,0.294691801,9.433981132,0.031237268,0.061225046,0.348940448,0.226490356
20,0.296263025,1,0.286609646,9.055385138,0.031650741,0.062035452,0.358298477,0.234227574
25,0.294427285,1,0.290351369,9,0.032261263,0.063232076,0.357659361,0.231195209
30,0.304735533,1,0.295271535,8.831760866,0.033432918,0.065528519,0.370264052,0.239207014
35,0.307923697,1,0.299365269,8.774964387,0.034115839,0.066867044,0.37479074,0.241056653
40,0.320045066,1,0.303433805,8.426149773,0.036010967,0.070581496,0.390626562,0.24946357
45,0.320187572,1,0.306755988,8.426149773,0.036405238,0.071354267,0.391541839,0.248833306
50,0.323342864,1,0.30837162,8.426149773,0.036596978,0.071730077,0.395072941,0.251612787
55,0.318337601,1,0.307970474,8.366600265,0.036809512,0.072146644,0.390484244,0.246190957
60,0.314905565,1,0.305304604,8.366600265,0.03649088,0.071522124,0.386427689,0.243383441
65,0.290166352,1,0.287814851,8.062257748,0.035699039,0.069970116,0.360136468,0.220196236
70,0.276078368,1,0.271530995,7.745966692,0.035054501,0.068706821,0.344785189,0.207371546
75,0.27599667,1,0.268591628,7.745966692,0.03467503,0.067963059,0.343959729,0.208033611
80,0.273742133,1,0.260242153,7.615773106,0.034171469,0.066976079,0.340718212,0.206766054
85,0.279465688,1,0.260699575,7.549834435,0.034530502,0.067679784,0.347145473,0.211785904
90,0.281457419,1,0.271410425,7.483314774,0.036268744,0.071086737,0.352544156,0.210370681
95,0.276182805,1,0.272130141,7.416198487,0.036694021,0.071920281,0.348103086,0.204262525
100,0.283433551,1,0.27852372,7.280109889,0.038258175,0.074986024,0.358419574,0.208447527
105,0.284709575,1,0.295528653,7.141428429,0.041382289,0.081109286,0.365818861,0.203600289
110,0.276406165,1,0.291420905,7.071067812,0.04121314,0.080777754,0.357183918,0.195628411
115,0.271285488,1,0.29465635,7,0.042093764,0.082503778,0.353789266,0.18878171
120,0.271778943,1,0.298986887,7,0.042712412,0.083716328,0.355495271,0.188062615
125,0.277499959,1,0.300453061,6.92820323,0.043366664,0.084998661,0.36249862,0.192501298
