id,question_id
1,70
2,69
3,68
4,67
5,66
6,65
7,64
8,63
9,60
10,59
11,58
12,57
115531,622
17,50
26,40
21,49
27,46
19,43
16,53
91941,780
22,45
94163,465
18,47
24,48
94634,649
13,56
94162,357
94164,428
94166,376
44195,377
30,54
33,66
34,66
2674,147
2675,147
94636,566
2676,147
35,75
47,69
48,71
51,32
52,27
53,67
54,27
55,67
40,11
4521,344
49,73
41,2
42,76
44199,371
1423,103
39,9
29,55
115534,452
56,67
28320,417
57,67
58,67
59,67
61,8
99464,697
100486,929
2677,147
71,36
72,31
73,34
76,25
77,8
74,76
80,2
79,6
81,52
78,3
63,6
65,38
64,78
70,52
82,51
1424,103
44196,371
1425,103
86,71
87,71
66307,132
66473,132
108,32
109,32
98,78
97,52
103,52
1430,123
100487,684
4332,157
100488,684
1434,64
1435,70
83711,341
7897,442
1444,105
1445,136
1446,134
1449,140
1452,150
1454,150
1455,150
1426,128
95,77
88,71
89,71
90,71
92,27
1427,28
66474,772
105,32
100489,684
66501,772
110,30
1428,151
66509,132
121,83
115537,151
83712,341
94,76
126,69
127,69
128,67
100,52
112,52
111,17
99,13
113,13
2890,61
119,5
120,84
91,78
129,63
131,58
136,27
137,27
66511,132
99466,804
3116,60
100490,105
151,36
152,105
156,105
161,105
160,106
3117,155
1429,136
4525,331
16132,598
1433,71
1440,146
82187,823
1443,147
32052,677
7140,407
84592,837
147,84
1442,102
157,103
7139,154
130,59
115538,151
150,105
154,105
1447,150
61744,216
135,17
115541,447
1450,134
99467,548
16135,431
99470,668
99471,136
115542,452
144,17
167,106
134,73
54024,610
54031,610
4528,357
66850,377
146,85
163,102
162,103
169,89
139,81
44197,371
16134,307
83713,566
99469,729
115539,151
180,27
1451,135
3118,228
1453,150
54033,610
54034,610
55913,610
221,71
222,71
223,105
3120,182
16150,586
199,99
47982,747
1771,149
3119,127
205,98
204,99
212,94
213,94
218,91
219,91
56649,610
198,85
187,105
191,69
192,69
193,69
61534,610
115540,863
99475,184
99477,566
189,103
6169,459
220,71
1456,140
196,52
224,106
2683,61
61977,610
5994,396
16141,391
200,101
