question_id,category_id
279,15
727,13
493,7
727,8
498,7
289,15
500,7
727,11
504,7
727,14
727,20
827,2
707,7
303,1
778,13
755,8
721,8
793,7
793,8
514,7
323,6
793,19
778,14
44,5
340,13
515,7
736,7
44,8
520,7
521,7
133,12
709,7
556,7
749,13
749,8
629,10
736,8
522,7
60,5
523,7
60,8
60,13
171,12
62,6
66,5
66,8
534,5
629,8
66,13
534,8
70,5
836,1
535,8
805,5
70,8
629,14
729,13
70,13
1106,7
317,4
103,11
538,5
103,19
542,7
740,12
549,13
128,2
128,19
746,2
44,13
138,10
408,1
138,3
549,8
805,12
1108,12
44,19
352,7
421,10
773,14
352,20
442,9
442,2
771,12
56,5
638,18
106,14
599,7
470,7
473,7
557,5
478,7
483,7
487,7
489,7
855,1
850,7
1030,13
1030,8
569,7
573,7
576,1
578,7
1030,19
586,7
589,7
592,7
595,7
597,7
395,7
600,7
667,7
603,7
605,7
612,7
726,8
726,11
615,7
617,7
726,19
58,5
626,7
58,8
58,13
770,12
1071,4
297,15
214,15
215,15
218,15
222,10
222,15
106,13
698,13
109,6
109,1
110,6
110,13
10,10
228,8
228,14
14,5
14,8
233,15
1078,5
238,15
241,15
243,15
248,15
258,15
698,8
76,7
271,15
276,15
110,1
282,1
1080,5
57,5
57,8
57,13
71,9
76,19
129,10
129,19
71,4
555,10
147,10
21,1
113,6
113,1
713,13
713,8
714,12
138,19
144,10
120,6
120,13
725,4
725,2
120,1
88,3
144,19
641,3
641,2
403,10
678,2
403,19
403,9
48,5
48,8
769,12
191,8
191,19
204,6
204,7
204,19
326,12
48,13
48,19
993,7
999,7
999,13
999,3
999,4
208,13
208,19
622,10
622,19
51,1
644,12
644,19
1083,4
1083,9
1083,11
1363,13
1363,4
929,7
929,19
253,13
1363,5
253,5
253,19
1363,11
1367,13
1367,4
1367,5
61,1
1367,11
184,7
184,4
184,19
73,5
73,8
73,13
78,12
78,8
706,5
706,19
143,12
152,10
155,13
155,11
162,8
162,5
168,12
170,12
200,9
27,9
115,6
495,7
115,1
117,6
117,1
119,6
658,6
502,7
281,15
20,1
1054,5
639,13
639,4
305,1
988,7
119,1
730,8
704,5
730,11
704,19
299,15
730,14
705,5
1065,12
294,15
154,8
705,20
1114,7
988,19
571,7
319,12
695,5
687,7
687,13
1082,5
1026,7
1026,19
639,8
154,19
173,10
978,7
173,19
331,10
344,5
978,19
301,15
1056,4
179,2
179,19
1007,7
348,13
1007,19
653,8
653,12
348,3
350,7
365,8
193,8
365,11
365,14
118,6
118,13
193,19
118,1
224,13
224,5
86,3
313,4
158,12
158,19
920,1
920,19
665,11
149,13
149,14
149,8
149,11
151,4
362,8
151,3
665,19
675,7
897,4
56,8
935,3
935,8
935,2
72,5
72,8
897,19
56,13
367,1
923,4
923,19
72,13
383,8
922,4
383,11
383,14
388,7
922,19
853,4
694,5
397,18
853,19
869,13
869,4
869,5
412,7
77,12
1162,10
1162,1
77,14
1049,7
439,8
1049,8
1165,4
443,12
1165,5
449,10
458,7
122,6
122,1
142,10
157,11
157,13
475,7
479,7
484,14
486,7
49,5
1040,13
12,5
12,8
12,13
1110,7
491,7
869,8
1110,8
49,8
49,13
330,10
330,8
869,2
31,9
16,5
16,8
512,7
339,13
513,7
31,4
999,8
999,9
1112,10
517,7
700,13
519,7
40,5
40,13
40,8
531,18
1040,5
524,7
1040,19
536,5
293,15
298,15
537,5
531,8
539,5
531,5
543,7
141,14
547,13
547,8
825,10
825,3
700,8
591,7
1261,2
572,7
643,12
696,8
575,7
1044,7
1044,19
296,15
363,8
368,1
292,15
373,1
585,13
1214,7
873,13
585,5
873,4
594,7
606,7
611,7
943,7
943,19
621,18
389,7
812,13
812,8
958,7
627,7
958,19
959,7
394,7
959,19
394,1
216,7
814,7
216,19
642,12
452,10
452,1
648,5
648,8
414,8
452,19
434,2
455,1
457,7
1359,13
927,7
1359,4
1359,5
1359,11
1362,13
1362,4
1362,5
476,7
1362,11
482,7
655,13
990,7
980,7
950,7
970,7
976,7
985,7
955,7
945,7
808,8
800,8
366,8
366,11
366,14
351,7
492,7
497,7
501,7
356,13
356,4
503,7
927,19
938,10
938,8
508,2
518,7
699,13
454,1
454,19
525,7
25,9
527,7
25,4
50,5
50,8
545,7
548,7
548,3
50,13
147,3
699,8
6,1
548,8
6,7
1005,13
361,10
1005,4
135,12
361,20
13,10
701,2
387,12
731,8
590,7
593,7
598,7
601,7
396,13
13,8
17,5
604,7
1005,8
731,14
159,8
159,14
195,8
676,7
195,19
676,3
396,5
396,11
197,8
619,5
774,2
197,19
17,13
224,19
406,2
159,13
965,7
22,1
960,7
795,8
1122,7
630,13
1165,8
826,4
1165,14
774,19
424,10
429,12
842,5
842,8
842,19
810,8
963,7
963,19
777,5
777,1
777,3
43,5
43,8
652,10
652,8
652,2
43,13
650,10
650,8
650,2
946,7
631,7
137,10
137,3
43,20
46,5
264,15
436,5
46,8
46,13
440,8
440,2
757,8
456,12
1121,8
1121,12
1121,18
471,7
472,7
477,7
481,7
441,3
762,7
762,3
427,8
427,3
231,10
231,3
167,10
167,8
167,3
435,10
435,3
541,7
541,3
229,7
9,10
46,20
9,8
229,19
300,15
711,7
411,7
15,5
290,15
291,15
295,15
851,3
579,18
1084,13
15,13
19,1
1084,8
851,19
579,8
24,9
743,7
743,8
570,7
602,7
355,10
127,12
820,2
24,4
747,7
820,12
821,2
28,4
871,13
871,4
28,9
821,12
871,5
871,8
579,5
871,9
871,2
355,19
1051,7
376,1
376,19
431,7
1006,7
872,13
1006,13
654,10
69,5
69,8
824,2
872,4
824,12
69,13
654,8
654,19
872,5
1253,7
432,7
432,1
433,7
433,1
430,7
430,1
1256,7
1257,7
663,11
872,8
872,9
663,19
872,2
1091,7
1257,3
1095,7
1258,10
1258,8
166,15
546,7
750,7
750,1
1097,5
1098,5
1099,13
1099,8
1100,13
1100,5
30,4
30,9
33,9
32,9
34,9
35,9
36,9
39,5
39,8
39,13
41,5
41,8
41,13
42,5
42,8
753,7
753,1
42,13
1102,7
1103,5
1103,9
738,7
754,5
756,8
739,17
767,12
423,10
758,1
677,7
64,5
64,8
895,13
873,5
873,8
873,9
895,4
712,10
64,13
219,15
895,5
895,8
327,10
895,2
895,19
84,7
84,20
873,2
737,12
102,11
669,8
102,20
234,15
239,15
240,15
574,7
1039,7
52,1
327,18
450,10
1039,19
1262,3
1262,1
1263,7
358,10
358,19
374,1
1006,9
1006,2
1019,7
145,2
145,20
450,18
374,19
332,10
1010,7
1010,19
332,18
386,1
386,19
830,8
461,13
840,8
828,8
244,15
249,15
832,8
188,7
1264,7
817,8
879,12
829,8
815,7
112,6
817,3
269,15
273,15
817,20
53,5
53,8
53,13
112,13
702,5
126,2
131,7
112,1
278,15
702,13
288,15
1259,7
1265,13
302,7
302,1
702,4
702,19
324,13
283,1
1265,8
710,19
1061,5
316,4
316,19
843,7
844,4
136,12
647,8
647,19
936,7
146,10
146,8
146,13
148,2
936,19
1011,7
849,7
1268,7
1268,11
185,8
1269,1
530,18
806,5
806,12
760,13
760,3
759,13
759,3
759,8
992,10
678,3
992,14
1000,10
1001,7
1002,8
1002,14
1003,12
172,8
265,15
391,7
172,20
874,13
183,2
183,20
189,7
1061,8
1061,20
221,15
189,11
189,3
874,4
236,15
54,5
54,8
874,5
54,13
874,8
326,19
1051,20
246,15
251,15
259,15
674,13
263,15
